llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J10126;True;CWE-129;3.157243013381958;total_tokens: 585, completion_tokens: 48, prompt_tokens: 537;0.006810000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J10676;True;CWE-129;3.971297264099121;total_tokens: 406, completion_tokens: 53, prompt_tokens: 353;0.00512;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J10531;True;CWE-89;4.277565002441406;total_tokens: 1112, completion_tokens: 47, prompt_tokens: 1065;0.012060000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J10677;True;CWE-129;4.672611951828003;total_tokens: 805, completion_tokens: 48, prompt_tokens: 757;0.00901;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J10127;True;CWE-129;4.978036165237427;total_tokens: 708, completion_tokens: 56, prompt_tokens: 652;0.0082;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J10530;True;CWE-129;5.700394868850708;total_tokens: 586, completion_tokens: 61, prompt_tokens: 525;0.00708;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J10126;True;CWE-129;6.2667670249938965;total_tokens: 1308, completion_tokens: 112, prompt_tokens: 1196;0.01532;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J10677;True;CWE-129;9.1777184009552;total_tokens: 1746, completion_tokens: 110, prompt_tokens: 1636;0.01966;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J10676;True;CWE-129;9.334319591522217;total_tokens: 953, completion_tokens: 120, prompt_tokens: 833;0.01193;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J10127;False;;9.817739725112915;total_tokens: 1557, completion_tokens: 123, prompt_tokens: 1434;0.01803;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J10531;False;CWE-89;10.885229110717773;total_tokens: 2392, completion_tokens: 141, prompt_tokens: 2251;0.02674;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J10530;True;CWE-129;15.825615644454956;total_tokens: 1321, completion_tokens: 136, prompt_tokens: 1185;0.015930000000000003;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J10738;True;CWE-129;3.406944751739502;total_tokens: 439, completion_tokens: 48, prompt_tokens: 391;0.00535;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J10754;True;CWE-129;3.7615926265716553;total_tokens: 401, completion_tokens: 50, prompt_tokens: 351;0.00501;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J11177;True;CWE-20;3.8203930854797363;total_tokens: 538, completion_tokens: 51, prompt_tokens: 487;0.0064;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J10739;True;CWE-129;3.8826208114624023;total_tokens: 781, completion_tokens: 49, prompt_tokens: 732;0.008790000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J10755;True;CWE-129;4.572244882583618;total_tokens: 780, completion_tokens: 53, prompt_tokens: 727;0.00886;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J11176;True;CWE-129;4.598839282989502;total_tokens: 411, completion_tokens: 49, prompt_tokens: 362;0.00509;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J11338;True;CWE-129;5.035496950149536;total_tokens: 399, completion_tokens: 51, prompt_tokens: 348;0.00501;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J11015;True;CWE-129;5.450705528259277;total_tokens: 1228, completion_tokens: 58, prompt_tokens: 1170;0.013440000000000002;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J11339;True;CWE-20;5.744936943054199;total_tokens: 830, completion_tokens: 65, prompt_tokens: 765;0.0096;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr;J11014;True;CWE-400;7.255926847457886;total_tokens: 677, completion_tokens: 93, prompt_tokens: 584;0.008629999999999999;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J10739;True;CWE-129;9.033490180969238;total_tokens: 1706, completion_tokens: 119, prompt_tokens: 1587;0.01944;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J10738;True;CWE-129;9.076498746871948;total_tokens: 1037, completion_tokens: 133, prompt_tokens: 904;0.01303;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J11176;True;CWE-129;9.955532550811768;total_tokens: 962, completion_tokens: 115, prompt_tokens: 847;0.01192;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J10754;True;CWE-129;10.122126579284668;total_tokens: 967, completion_tokens: 141, prompt_tokens: 826;0.012490000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J11338;True;CWE-129;10.161006212234497;total_tokens: 940, completion_tokens: 119, prompt_tokens: 821;0.01178;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_sr_improve;J11177;True;CWE-20;10.43591833114624;total_tokens: 1220, completion_tokens: 121, prompt_tokens: 1099;0.014620000000000001;2024-02-05
